ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
280;0;24;51.93;6;2032.55;5014.04;13385.58;0.0;1075931.77
281;0;2;269.14;3;4414.71;4738.14;17329.48;715.58;6790479.91
282;0;45;21.44;11;16806.06;128.38;27041.68;3587.54;2416746.78
283;0;55;3.72;17;10396.46;6588.23;209254.94;141025.03;1757524.58
284;0;28;1.17;14;3967.18;2790.98;296830.58;0.0;365713.02
285;0;24;3.16;15;3005.73;4177.3;121999.39;0.0;841930.43
286;0;8;1.21;23;4729.26;7860.37;8988.54;0.0;273797.64
287;0;24;49.92;6;4324.41;4654.13;518527.73;473.62;242651.93
288;0;35;38.8;7;656.13;5409.25;27428.69;5.0;439221.15
289;0;20;132.68;3;6321.42;2325.48;162198.27;18850.74;2313782.97
290;0;5;6.7;10;8619.53;6717.17;77915.36;334181.82;1806418.97
291;0;10;1.3;25;1260.73;180.47;63859.25;630.37;605015.73
292;0;16;7.38;12;3110.78;5271.92;115312.14;18543.23;415455.26
293;0;8;4.22;14;4823.16;4212.14;68155.52;22428.58;1961326.63
294;0;40;6.78;13;3443.51;2649.25;24301.89;9540.41;366980.98
295;0;4;11.24;10;6523.86;2321.46;29948.58;0.0;379518.92
296;0;0;0.0;0;4199.33;5398.05;6870.67;1924.98;1040766.54
297;10;18;39.64;10;665.66;5775.45;41628.53;6310.47;937873.93
298;0;10;499.2;3;1905.77;6178.41;8627.72;24596.17;1073981.37
299;0;5;3.72;15;4034.08;722.76;53071.2;7.99;642923.92
300;0;2;28.57;8;3134.01;5788.69;27682.96;3635.8;703362.13
301;0;24;3.53;14;4074.83;3599.08;43019.01;20639.08;1129775.39
302;0;6;1.65;22;5955.5;2296.7;118147.79;127832.5;4168855.29
303;14;28;894.24;4;3576.45;1488.89;680276.93;11971.79;459950.38
304;0;21;247.28;3;1601.95;4542.9;322529.89;0.0;762398.76
305;0;10;1.73;27;5896.84;2942.57;282521.3;28807.07;1247552.89
306;0;8;1.35;17;4435.54;5310.67;727.02;0.0;1011269.53
307;9;30;12.93;8;1259.07;491.12;22534.9;1.0;47011.86
308;0;9;45.7;8;1423.16;4288.49;16069.16;5391.93;997387.71
309;0;32;3.26;14;997.64;6214.03;161181.63;2931.04;431757.83
310;0;10;1.18;17;11383.27;4556.18;63260.29;13082.09;1488019.93
311;0;24;10.61;7;4362.79;4133.07;206863.34;124132.49;1855008.92
312;0;8;1.86;27;7904.63;3923.62;1149173.41;0.0;2983395.18
313;0;6;1.32;34;6863.71;8580.27;162840.48;0.0;3941816.21
314;6;15;1900.46;3;8227.03;4494.04;41863.65;88745.82;1259928.03
315;0;45;1.81;28;3332.66;507.08;26431.64;7465.35;845345.84
316;17;70;2.08;22;629.35;4851.5;3458539.88;11913.89;437053.33
317;0;28;1.88;27;6342.48;3091.84;267183.22;33778.55;670574.64
318;0;30;34.28;6;1252.98;3855.31;105794.88;0.0;498934.92
319;14;63;28.26;7;8319.16;5683.91;360238.14;4736.02;2738861.84
320;16;80;9.85;9;6487.13;3843.24;38087.37;0.0;1660555.11
321;0;20;26.43;6;2446.76;4139.38;45864.91;0.0;777567.92
322;0;6;9.98;9;5315.36;1107.25;78883.25;93747.59;1315452.21
323;0;15;1.78;16;8741.54;1190.57;142592.77;0.0;1600617.41
324;0;0;0.0;0;2241.52;9185.59;5651.36;0.0;498167.44
325;6;15;3.05;30;4410.45;2803.68;83158.38;4807.07;153050.62
326;0;6;10.6;9;5602.12;1676.84;6626.04;181429.45;1049802.75
327;0;12;1.96;14;7738.57;4878.22;24398.78;0.0;2868747.75
328;0;36;1.81;17;17628.94;6796.87;72319.3;23454.35;7578558.49
329;0;18;2.11;17;48688.56;9535.78;273564.02;9519.2;9710136.3
330;8;25;6.74;14;3625.37;6108.46;475597.63;72695.05;879245.99
331;0;12;1.05;23;6302.12;2050.34;464298.98;14042.58;2777415.27
332;0;50;4.73;13;4277.08;3898.77;30650.52;43832.82;898424.51
333;5;12;3.11;21;7018.39;8780.08;241587.82;137811.03;1118496.64
334;0;28;5.93;10;5193.31;4060.92;5820.49;2.0;396056.43
335;0;8;22028.53;2;4405.62;8128.05;2012.19;0.0;130047.31
336;0;30;5.41;18;4287.84;6998.88;9775.16;44081.14;513676.92
337;0;0;0.0;0;2108.82;420.93;5261.05;0.0;265893.6
338;0;0;0.0;0;6279.17;4189.92;1095.9;0.0;754732.07
339;0;0;0.0;0;524.07;3254.37;1212.32;0.0;611448.41
340;0;18;1.94;22;4876.9;4877.52;60622.35;7186.65;281708.64
341;0;18;3.63;18;17280.55;6622.14;981288.42;7967.97;3654210.14
342;8;21;1.8;19;4577.52;2227.8;369349.5;1626.5;947334.83
343;0;12;9083.98;2;425.33;4751.67;255146.69;1.0;856632.71
344;0;25;68.05;3;1270.78;5880.8;42941.08;0.0;433506.57
345;9;24;25.74;6;4370.15;7932.97;133692.45;0.0;278477.23
346;0;12;10607.42;3;11044.79;4906.85;370991.18;0.0;1767360.15
347;0;2;2.1;20;594.18;4458.87;8167.91;0.0;309851.24
348;0;14;16.65;9;5180.14;4769.93;3633.15;69904.77;332820.49
