id,ZIV20_pocet,ZIV20_1,ZIV20_2,ZIV20_3,ZIV20_4,ZIV20_5,ZIV20_6,ZIV20_7,ZIV20_8,ZIV20_9,ZIV20_10,ZIV20_11,ZIV20_12,ZIV20_13,ZIV20_14,ZIV20_15,ZIV20_16
720,13,6,6,1,1,2,2,1,1,2,2,2,2,2,3,5,4
721,10,2,1,2,3,4,2,2,2,1,3,3,3,1,1,2,3
722,19,2,4,4,6,2,2,5,6,4,4,5,3,2,3,3,6
723,4,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
724,3,1,1,1,1,1,0,0,0,1,0,1,1,0,1,2,1
725,21,3,3,6,6,3,2,7,2,2,7,7,4,4,7,2,5
726,21,6,2,8,7,5,4,4,2,5,3,8,8,7,9,7,5
727,32,9,3,7,6,7,7,5,7,4,4,4,3,6,4,4,5
728,18,2,1,9,9,4,5,3,2,3,3,2,2,2,3,3,3
729,22,11,6,3,7,7,7,5,10,3,4,4,3,3,2,2,2
730,25,5,4,4,4,12,6,8,6,17,12,13,7,9,8,10,7
731,15,5,3,1,1,4,2,1,0,4,4,2,2,6,9,4,5
732,10,1,1,2,2,5,3,2,1,6,2,2,2,2,1,1,2
733,18,6,4,3,4,6,5,3,4,5,1,3,3,4,4,3,4
734,14,6,2,2,3,5,3,5,3,2,6,5,4,2,4,4,4
735,12,1,2,2,1,3,2,1,2,2,3,2,3,4,5,4,4
736,7,1,0,2,2,4,2,3,3,4,2,2,2,4,3,4,2
737,4,0,0,1,1,1,1,2,2,0,0,2,2,0,0,1,2
738,7,2,0,1,1,0,3,3,2,0,3,3,0,0,0,1,1
739,7,2,2,1,1,2,2,1,1,1,1,0,0,2,2,1,0
740,7,1,1,1,2,0,1,1,2,1,2,2,2,1,2,2,2
741,13,2,1,2,1,2,1,4,3,1,2,2,4,1,3,3,3
742,17,4,4,3,3,5,3,4,3,5,3,4,3,4,5,5,4
743,12,3,1,3,2,3,2,3,3,2,3,2,2,2,2,1,3
744,11,3,2,1,3,2,2,2,2,2,2,3,3,4,2,2,1
745,20,4,6,4,5,1,5,6,5,1,5,8,6,2,3,8,8
746,22,6,5,9,6,5,7,8,4,1,2,5,3,3,4,6,3
747,16,6,7,2,5,7,3,2,3,3,2,3,3,1,1,2,2
748,17,6,4,4,6,4,3,4,5,3,5,2,2,5,7,4,2
749,12,4,4,2,2,1,4,5,6,2,1,1,5,3,1,1,3
750,15,1,4,5,2,3,3,2,2,6,2,2,3,4,3,4,6
751,36,5,15,9,6,22,20,5,3,23,3,2,4,4,4,4,3
752,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
753,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
754,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1
755,7,1,1,2,2,3,2,1,1,1,1,1,2,2,1,1,2
756,6,1,2,2,2,1,1,1,2,0,1,1,2,2,2,2,1
